(Anonymous) Stat Unit ID	Background (degree)	Expected work sectors	Programming Languages	Hard Worker (0-5)	Ambitious (0-5)	Expected net remuneration (monthly)	Benefits	Team leader or Team player ?	Preferred daily Workload	How many hours do you study daily ?	Enterpreneurial attitude (0-5)	Scalability	Most recent working position	Currently working?	Sex	Age	weight	height	# of siblings	Main Interests	Main hobbies	Play some instruments? Which ones?	Sports	Would you like to maintain a YT channel ?	Dream Works	Priorities in Life	Country	Primary language(s)	Secondary language(s)	Can this be a "representative" sample of larger populations ? If yes, which ones?	Do you think that looking at other answers is influencing your responses? Why?
1933541	Engineering in computer science 	cybersecurity 	C, Python, java, JavaScript, PHP, assembly, C++, Ruby on Rails, (other languages: HTML e CSS, mySQL)	5	4			Team leader	8 hours per day		2	Yes	-		F	22				Cybersecurity 	-	No	-	No	Cybersecurity engineer 	Happiness	Italy	Italian	English 	No	No
1933529	Computer and System Engineering	cybersecurity 	PHP, Java, JavaScript, Python, Ruby on rails, C, C++, assembly, 	5	5			Team leader	6 hours per day		3	Yes	-		M	22				Cybersecurity	Gaming	No	Rugby	No	Cybersecurity engineer	Happiness	Italy	Italian		No	No
31337	Computer Science	cybersecurity 	C, Python, Java, PHP, JS, C#, ...	5	5	2500	Health assurance	Team player	8 hours per day	8	3	Yes	Penetration Tester	Yes	M	22	66	1.73	1	Vulnerability Research	CTFs	No	Krav Maga	Maybe	Vulnerability researcher	Happiness	Italy	Italian	English, French	No	No, this is personal
2111409	Computer Science and Engineering 	cybersecurity 	c, java, angular, html, css	5	5			team leader 	8 hours  per day		3	yes	software developer 		F	23				Cybersecurity 	Crafting 	No	Badminton 	Don't know 	Forensic 	Happiness	India	English	Hindi	No	No
309200	Computer Engineering	Cybersecurity 	C, Java, MySQL	5	5				6 hours per day		3	yes			M	23	96	1.76		Cybersecurity 	Workout 		rugby	no 	Cybersecurity engineer	Health and happines	Italy	Italian, Albanian	English	no	no
1234567	Software and Information Engineering	Cybersecurity 	C,Java, Python, JavaScritp, PHP, SQL, Haskell, assembly, C++, 	5	5			Team player	8 hours per day		4	yes	software developer		M	21	84	1.76		Cybersecurity	Football	Percussion instruments	Football	No	Vulnerability researcher	Happiness	Italy	Italian		yes	no
2150048	Computer Engineering	Cybersecurity 	Java,Python,PHP,SQL...	5	5			Team leader	6 hours per day		3	yes			F	23				Cybersecurity	skiing,roller skating	Piano and Guitar	skiing,roller skating	no	Cybersecurity engineer	Health and happiness	Italy	Italian,English,French,German		No	no
1600	Computer Engineering	Cybersecurity 	C, C++, C#, Javascript, PHP, x86 Assembly, Python, CSS, Typoscript, MySQL	5	5			Team player	6 hours per day		3	Yes	Quality Assurance		M	23	45	1.73		Cybersecurity	Pro gaming	No	-	No	Cybersecurity manager/engineer	Family 	Italy	Italian, English 		No	No
1843916	Computer Science	Cybersecurity 	C++, Java, Python, Assembly, Javascript, MySQL	5	4	2000		Team player	6 hours per day	8	3	Yes	Help desk		M	24	100	1.8		Cybersecurity	Reading	No	-	No	Cybersecurity engineer	Family 	Italy	Italian, English 		Yes, as we are grouped by a common feature; for example we are university students whose studies are related to cybersecurity.	No, as it only stimulates my curiosity.
1811290	Computer Science	Cybersecurity	C, C++, C#, Java, Javascript, Typescript, HTML, Assembly, Python, MySQL	5	4			Team leader	8 hours per day		4		-		M	24				Cybersecurity		No	Football, Handball	No	Own IT Company	Health and happiness	Italy	Italian, French	English, German	Yes	No
1888414	Computer Science	Cybersecurity	C, Java, Python, Assembly, haskell, LM	5	5	2100		Team player	6 hours per day		2	Yes	Software analyst		M	23	63	1.72	2	Cybersecurity	Gaming	Guitar	-	Maybe	Penetration tester (Red Team)	Happiness	Italy	Italian	English	Yes, students	No, this survey is anonymous.
2139837	Computer Science	Cybersecurity 	C++, Java, Python, Assembly, Javascript, MySQL	5	5			Team player	6 Hours per day		3	Yes	- 		M	21	70	1.8		Cybersecurity	Football	No	Football	No	Cybersecurity Manager/engineer	Family 	Italy	Italian	English	Yes, students of this course	Maybe
ZioSaba	Computer Engineering	Cybersecurity	C, Python, Java, JavaScript, Assembly, MySQL, C++, Scala, HTML, Ruby on Rails, PHP	4	4			Team player	6 hours per day		1	Yes	-		M	25	63	1.68		Malware Analysis	Longboard, Gaming	Guitar	Longboard, Gym	No	Malware Analysis	Health and happiness	Italy	Italian	English	no	no
coder	Computer Science	Cybersecurity	C, C++, Java, JavaScript, Python, MySQL, ...	5	4	2500	Car	Team player	6 hourds per day		3	Yes	Software Developer	yes	M	22	72	1.81		Cybersecurity	-	No	Football	No	Penetration Tester	Health and happiness	Italy	Italian, Albanian	English	Yes, students of cybersecurity	No
2132174	Computer Engineering 	Cybersecurity 	C, C++, C#, Java, Python, Visual Basic, Assembly, MySQL, JavaScript, Typescript, OCaml, Rust	5	6			Team leader	6 hours per day		4	Yes 	IT/ICT Engineer		M	22				Cybersecurity 	Sports	No	Swimming, Trekking 	No	Penetration Tester/Cybersecurity Engineer 	Happiness 	Italy	Italian	English	Yes, it can be a sample for all Cybersecurity courses	No
1882582	Computer Science	Cybersecurity	Java,Python,HTML,PHP,SQL,JavaScript,CSS	5	5			Team leader	8 hours per day		3	yes	-		M	22				Cybersecurity	gym, padel, swim	no	swim, padel, football	no	Cybersecurity engineer	Health and happiness	italy	italian	english	yes	no
a contributor	Computer Engineering	Cybersecurity	C, Java; Python, SQL, Powershell (Scripting Language)	4	5	3000		Team leader	8 hours per day	10	2	Yes	IT consultant / Azure cloud admin		M	25	72	1.86	1	Cybersecurity (blue team)	gaming, music listening	no	Tennis	no	Cybersecurity manager/engineer	Health	Italy	Italian	English, French	no	no
1813358	Computer Engineering	Cybersecurity	C, Java, Pyhton, SQL, HTML, PHP, JavaScript, CSS, C++, x86 Assembly	5	4			Team leader	6 hours per day		3	Yes	-		M	21	73	1.71		Cybersecurity	Gaming	Guitar	Tennis, Running	No	Cybersecurity engineer	Happiness	Italy	Italian, English 		Yes, student in computer science	No
anonymous	Computer Science	Cybersecurity	C, Java, Python, MySQL, Assembly, JavaScript	5	5			Team leader	6-8h per day		4	Yes	-		M	21				Cybersecuity	Sports	No	Tennis, Basket, Swimming	No	Cybersecurity related	Work, personal relations	Italy	Italian	English, Spanish	Yes, Sapienza University students	No
1941541	Computer Science	Cybersecurity	C, Java, Pyhon, SQL, x86 Assembly, JavaScript, HTML, CSS, Go, Solidity	5	5			Team leader	8 hours per day		4	Yes	-		M	21				Cybersecurity	Playing music	Guitar	Gym, Calisthenics	Maybe	Red Teaming	Freedom, fulfillment	Italy	Italian	English	no	Yes
2468100	Computer Science	Tech	Python, Javascript, C	5	5			Team Leader	6 hours		3	No	Software Developer	Yes	M	23				Privacy	-	no	-	no	Traveller	Health	Italy	Italian	English	no	yes
1933472	Engineering in Computer Science 	Cybersecurity, Computer Science, Software Development	Python, Javascript, C, HTML, PHP, CSS, Ruby on Rails, Assembly, SQL, Java	5	4	2800	Notebook, Smartphone, Health Assurance, Meal Vouchers	Team Leader	6-8 Hours per day	12	2	Yes	IT Consultant	Yes	F	22	61	1.6	-	Cybercrime and Forensics	Listening to Music, Gaming, Watching Films and TV Series	No	Swimming, Gym	No	Forensics	Health, Happiness and Personal Fulfillment	Italy	Italian	English	Yes, Sapienza University Students enrolled in Cybersecurity Master Degree	No, but I'm curious to see other answers
X Æ A-XII	Computer Science	Cybersecurity	C, Java, Javascript, OCaml, ARM Assembly	4	4			Team Leader	6-8 hrs/day		4	Yes	-		M	21				Cybersecurity, OS development	Reading, Work Out	Kalimba sometimes	Gym	maybe	Own IT Company	Happiness, Health, Money	Italy	Italian	English	If we consider populations outside of cybersecurity master degree then no	Partially
3366	Computer Science	Cybersecurity	C,Java, Python, MySQL, Javascript...	4	5	2500		Team Player	6 hours per day	8	2	yes	-	no	M	23	80	1.91		Cybersecurity	Sports, books	Guitar	Martial arts	no	Cybersecurity related	Happiness, freedom	Italy	Italian	English	yes	yes
24_10	Computer Science	Cybersecurity	C, Java, Python, MySQL, Assembly, JavaScript, Scala, HTML	4	3			Team Player	6 hour per day		2	yes	-		M	24				Cybersecurity, Networks	Gym, videogames	no	gym, Muay Thai	no	Big Company (google...)	happines, family	Italy	italian	English	Yes, students of computer science 	
Jueia	Information Engineering, Computer Science and Statistics	Cybersecurity	C, Java, SQL, PHP, html, CSS	5	4			Team leader	6-8 hours per day		3	yes	-		M	25				Cybersecurity, Networks	Formula 1, videogames	no	Gym	no	Own IT Company	Health, Happiness 	Italy	italian	English	No	No
1968050	Computer science	Cybersecurity	C, Java, Prolog, SQL, HTML, CSS, Javascript	4	5			Team player	6-8 h per day		3	yes	-		F	23				Cybersecurity	watching movies	no	gym	no	dont know yet	time for personal life	italy	italian	english	yes, students of cybersecurity	no
2137544	Computer Sciwence	Cybersecurity	C, Java, Python, Prolog, SQL, Javascript, Julia	4	4	1700	Notebook	Team player	6 hours per day	10	3	yes	-	no	M	22	65	180		Computer Science	Sports	piano	Volleyball	yes	Cybersecurity related	Time	Italy	italian	english	No	No
1945109	Computer science	cybersecurity	javescript, python, java	2	3			team leader	6 h		3	yes	-		M	22	54	1.65		cybersecurity, ai	dancing, producing	guitar	breaking	yes	pentester	time	italy	italian	english	yes	no, everybody's different
AnonymousBlades	Computer science	cybersecurity	C, C#, Java, Pyhton, SQL, HTML, PHP, JavaScript, CSS, C++, x86 Assembly	4	4			Team leader	7 hours per day		3	yes	Software developer		M	27				Cybersecuirity	Cooking	Piano	Gym	No	Game director	Self care	Italy	Italian	English	No	No, because I'm sure about my answers
70704040	International relations	cybersecurity	C, C++	4	4			team leader	8 hours		3	yes	IT consultant		M	23				cybersecurity, IT, international studies	Sports	no	gym	no	Chief information security officer	wellbeing	Italy	italian	english	no	no
1842804	Computer Engineering 	Cybersecurity	C, Java, Python, SQL, HTML, PHP, JavaScript, CSS, C++	5	5	2200		team leader	8 hours	10	3	yes	-	no	M	24	66	1.7		Cybersecurity	Sports	no	Gym	no	Cybersecurity related	Happiness, Health	Italy	italian	English	no	no
1947898	Computer science	Cybersecurity	C,Java,Python,SQL,Assembly	4	5			Team leader	7 h		4	yes	-		M	22				Cybersecurity	Music, Sport	Drums,Piano,Guitar,Bass	Gym	yes	Cybersecurity related	Happiness,Health,Free Time	Italy	Italian	English, Spanish	no	no
2094810	cybersecurity	cybersecurity	C,java,Assembly,SQL	4	4			team leader	6h			yes			M	25					Football	no	Football	no	Cybersecurity related	Happiness, Work, Time for me	Italy	Italian	English	no	no
2133183	Computer Science	Cybersecurity	HTML,CSS,SQL,Php,Javascript,Matlab	4	5			team leader			3		-		F	39				Cybersecurity,AI,Network	trekking	no	Gym	no	Pentester,security analyst,	Family,health	Italy	Italian	English	no	no
Utente2807	Computer Science	Cybersecurity, IT Consultant	HTML, Java, SQL, Assembly, CSS, Matlab, C, JS	4	5			team leader	Per goals			yes	IT Consultant	Yes	M	26	85	1.82	0	IT 	travel	no	Gym	yes	Manager in IT field	Health, personal relations, money	Italy	italian	English	no	no
2107930	Security of information technologies	Cybersecurity	HTML, SQL, python	3	5			team player	6 h per day		4	yes	Cybersecurity consultant		F	23				Management Of Information Security, Data privacy	Traveling, hiking, languages	no	yoga	no	CISO in international company	Life balance, mental health	Russia	Russian	English	It could be representative of various kinds of populations having similar characteristics: faculty students, engineering students. Of course the representativeness also depends on the particular investigation being made	no
2155672	Computer Science	Cybersecurity	C, C++, Java, Python, Dart, SQL, HTML, CSS, Javascript	4	5			team leader	6-8 hours per day		5	yes	-		F	22				Cybersecurity, AI	Sports,  reading	no	figure skating, gym	No	Cybersecurity related	Time for myself	Itay	italian	English	it isn't a representative sample for a large population but it is a good sample to represent Sapienza cybersecurity students	no
1933420	computer science	cyber security 	c, python, java	4	4			player	6 h		4	yes	-		nb	22				climbing	climbing	oboe	climbing	no	pentest	climbing	italy	italian	english	yes, computer science students	no
2141268	Computer Engineering	cyber security 	C, Java, python, C++, C#, Assembly, html, CSS, 	5	5			Team leader	8 hours		5	yes	-		M	22				Cybersecurity	Music, Videogames	Piano	Gym	maybe	Own IT Company	Personal Relantionships	Italy	italian	English	no, because all the units in this sample come mainly from the same course, tending to exaggerate the values compared to a larger population	no, they are purely personal
Cheza	Computer Science	Cybersecurity	C, C++, Python, Java, Assembly, HTML, PostgreSQL	4	3			Team player	6-8 hrs/day	10	2	yes	-		F	23	58	1.66		Cybersecurity, Software testing	Videogames, origami	Violin	a bit of volleyball and badminton	no	Pentester	Serenity, stability, free time for personal life	Italy	Italian	English	yes, a sample of the people of this course	no, but it may influence people, depending on the context
NisiOsiN	Computer Science	Cybersecurity	Assembly, Java, Python, SQL	5	4			Team player	8 hours per day		2	Yes	IT Consultant		M	27				Cybersecurity, Network	Hiking	No	-	No	Red Team	Family	Italy	Italian	English	No	Yes, partially, it gives ideas to fill the cells when nothing comes to mind 
1883018	Computer Science	Cybersecurity	C, Java, html, CSS, MYSql, Javascript	4	5			Team leader	8 hours per day		5	Yes	-		M	23				Cybersecurity	listening to Music, Sports	No	Gym	No		Happiness, Health, Satisfaction	Italy	Italian	English	No	No, but I'm curious about
1946175	Computer Science	Cybersecurity	Assembly, C, C++, GO, Java, JavaScript, Python, SQL	5	3			Team player	8 hours per day		0	yes	-		M	25	70	1.95	1	Cybersecurity	Music, cooking	Guitar	-	no	Cybersecurity engineer	Happiness	Italy	Italian	English	no	no
101023	Computer engineering	Cybersecurity, 	C, C#. C++, JS, Java, Python, SQL	4	4			Team leader	6-8 hrs/day		3	yes	-		M	22	77	1.9		Cybersecurity, Privacy	movies, cooking, workout	no	-	no	CISO, manager,	Happiness, health, family, work	Italy	Italian	English	no	no
anonymousA	Computer engineering	Cybersecurity, 	C,C++,C°,Javascript	4	4			Team player	8-8 h per day		4	yes	-		f	22				Cybersecurity	music, movies, travelling	no	-	no	Cybersecurity engineer	Happiness, family, health	Italy	Italian	English, French	no	no
novaavon	Computer Science	Cybersecurity	Assembly, C, C++, GO, Java, JavaScript, Python, SQL	4	5			Team player	4-5hrs/day		3	yes	-		M	22				Computer science, Cybserscurity, Exploits, Vulnerabilties	Reading, Music, Eating	no	Gym	no	Presidente del Consiglio	Self-satisfaction	Italy	Italian	English	no	no
2117333	Computer Science	Cybersecurity	C++, TypeScript, React, Java, Python, HTML,CSS, Javascript, PostgreSQL	4	5			Team player	6 hours			yes	-		M	22				Cybersecurity	gym, tennis, music	no	Gym	no		Health and happiness	France	French	English	no	no
1957045	cybersecurity	Cybersecurity	C, C++, Python, Java, Assembly, HTML, PostgreSQL	4	4			team leader	8-8 h per day		4	yes	-		f	21				Cybersecurity	listening to Music, Sports, reading	guitar, piano, ukulele	soccer	no	Traveller	Happiness, health, family, work	italy	italian	English	no	no
Francesco Totti	Computer science	Cybersecurity	C, Python, Java, Assembly, PostregSQL, Scala, bash	5	5			Team leader	2h per day		5	yes	Cybersecurity consultant		M	23				Cybersecurity, AI	Football, music, cooking, watches, vacations	Guitar	football, judo	yes	Youtuber	Happiness, relationships, health, money	Croatia	Italian, Croatian	English	No	No but it's fun to read them
anon	conputer engineering	Cybersecurity	C,java,HTML,CSS,PostgreSQL,C++,Ocaml,Python,C++	4	4			Team Leader	6-8 h per day		3	yes	-		M	23				Cybersecurity, operating systmes	Trekking,comics,music,gaming	no	-	maybe	Cybersecurity related	Hapiness, health , hobbies	italy	Italian	English	no	no
Alessandro del Piero 	Cybersecurity	Cybersecurity 	C,Java,Python,C++	3	3			Team player 	8		5	Yes			M	26				Cybersecurity 	Sport,music,gym,	Piano	Gym,calisthenics 	No	Network engineer 	MONEY	Italy	Italian	English	No	No
Lord Barty	Computer science	Cybersecurity	Python, Java, C, HTML, CSS, Javascript / Typescript, SQL, 	4	5			Team leader	6 h	6	2		-	No	M	27	73	1.77	0	Cybersecurity, OS	Gym, Music, Film, Videogames	no	Gym	yes	the important thing is that it doesn't bore me	Health	Italy	Italian	English	yes, a sample of IT students population	
Q	computer engineering	Cybersecurity	Java, Python, Javascript, C	4	5			team leader	6-8h per day	6	4	yes	-	yes	M	23	75	1.7	1	Computer science, physics, phylosophy	Gym, Books, Videogames	no	Gym	no	pentester	Money, Health, Family	Italy	italian	english	yes, if we condsider 20-30 years old students of STEM subjects as a population	no
1245	Computer science	Cybersecurity	C, C++, Java, Python, Javascript, PHP, SQL	4	3			Team player 	6-8h per day		2	yes			M	23	70	1.78	2	Cybersecurity, Networks	Music, Film, Sports	Guitar, piano 	-	no		Health, Family	Italy	Italian		no	no
The Duck	Engineering in computer science	Cybersecurity	C, Java, Python, Javascript, PHP, SQL	5	5	2500		Team leader	6h per day		4	yes	SOC Analyst		M	23	88	1.91		Cybersecurity, Entrepreneurship, Network	Music, Sports, Cooking	No	Gym, Swimming, Football, Padel	maybe	Entrepreuner	Healt (physical and mental), Family, Friends, Serenity	Italy	Italian	English	No	Just for adding more ideas 
2126556	Compurer Science Engineering 	Cybersecurity	C, C++, Python, SQL	3	5	3000	Car	Team leader	6h per day		3	yes	Cybersecurity Engineer 		M	27	78	1.82		Cybersecurity 	Motorbike, gym, surf	No	Gym, Basketball, Surf	No	CISO	Healt (physical and mental), Money, Family	Italy	Italian	English	No	Yes, partially 
4242564	Computer Science Engineering	Cybersecurity	C, C++, Java, JavaScript, Python, PHP, SQL, Ruby, Scala, CSS, Rails	4	5	2600		Team leader	6h per day		4	yes	IT Consultant		M	24	79	1.8		Cybersecurity	Gaming, cosplay	Bass, Guitar	Kudo Daido-Juku	maybe	Cybersecurity Manager/engineer	Health (physical and mental), Money, Family	Italy	Italian	English	No	no
21124334	Computer science	Computer Science	C, Java, Assembly, Python, SQL, HTML, CSS, Javascript, Perl	4	4	2000	Food Tickets, Health Assurance	Team leader	6h per day	4	4	yes	Software Engineer	Yes	M	22	90	1.9	0	IT, Embedded, Videogames AI	Gaming, sport	Piano	Gym	Maybe	Embedded Software Engineer	Happiness	Italy	Italian	English	Seems only cybersecurity students	No but it's fun to read them
Elem	Computer Science Engineering	Cybersecurity	C, C++, Python, SQL	5	3	2000	Food Tickets, Health Assurance	Team player	7h per day	3	3	yes	Back-end developer	Yes	M	22	62	1.7		climbing	Swimming	no	Swim	No	Social Engineer	Happiness	Italy	Italian	English	No	No
1800	Computer Science Engineering	Cybersecurity	Assembly, C, C++, Java, Python, HTML, CSS, Javascript, SQL	4	3	1700	Healt assurance, pc	Team player	6h per day	5	3	yes			M	24	75	1.77		IT, Networks, Cooking	Sports, Cooking,	Voice	Artistic Gymnastic, Gym	no		Healt, Happiness, Money, Good Food	Italy	Italian	English	No	No
X	Computer Science	Cybersecurity	C, Java, Javscript, Python, SQL	5	5	2000	Notebook, Car	Team leader	6-7h per day	7-8	3	Yes		No	M	25	85	1.85	2	Cybersecurity, Videogames	Videogames, programming	No	-	No	Penetration tester	Health,  happiness	Italy	Italian	English	Yes, if we consider all Sapienza students as larger population 	No, i don't want to be influenced by others